eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,ratio between space and charecters,function,No. of encoded charecters,ratio between encoded & chareceters,No. of backslas (/),No. of pipe characters,percentage between pipe (|) charcters,No. of Digite,percentage between digit and character,percentage between hexa/octa and characters,No. of % character,No. of \ charecters,No. of =,ratio beween = and charecters,No. of ? Charecters,Number of ! Charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,"No of ',' charecters",No. of '#' charecters,No. of '+' charecters,No.of '.' charecters,No. of ' charecters,Found / Not Found
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,160,17,0.006715,1,11,0,0,8,15,0,389,303,2,1
0,0,3,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,0.006763,304,0,0,181,123,0.002369,805,0.0155099,0,90,10,823,0.015856,10,71,0,0,227,1733,7,218,2642,41,0
1,2,4,2,2,0,2,0,9,9,5,5,5,6,4,0,7,0,0,2,0,2,0,0,0,7,0,3,12,5,0,291,3,124,10,0,1376,0.015296,649,0,0,103,444,0.004935,2734,0.030393,0,2,80,2464,0.027391,233,389,2,0,1933,2590,3,292,5311,25,1
0,0,0,0,0,0,0,0,3,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,11126,0.368716,48,0,0,301,14,0.000464,467,0.015476,0,1,0,272,0.009014,6,25,0,0,287,314,3,65,512,412,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,572,224,9,52,0.022707,3,962,0.420087,0,2,0.000873,731,0.319213,0.459389,0,224,27,0.011791,1,2,0,0,18,32,0,14,0,0,1
0,0,3,0,0,0,0,0,1,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,0.006763,304,0,0,181,123,0.002369,805,0.015509,0,90,10,823,0.015857,110,71,0,0,227,1733,7,218,2642,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,58,0,0,1956,0.171038,230,0,0,3,0,0,660,0.057712,0,2,0,26,0.002274,1,0,0,0,723,5,0,15,28,462,1
0,17,5,0,0,1,0,0,0,19,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,6,518,0,0,606,0.010097,237,0,0,102,305,0.005082,843,0.014046,0,20,24,1542,0.025692,275,284,0,0,326,1928,9,422,2441,153,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,116,0,0,98,0.043556,0,114,0.050667,4,0,0,358,0.159111,0.175111,2,0,136,0.060445,1,0,0,0,32,120,0,237,29,448,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,112,0,0,98,0.044144,0,110,0.049549,4,0,0,360,0.162162,0.178378,2,0,139,0.062613,1,0,0,0,32,123,0,225,29,424,1
0,17,5,0,0,1,0,0,0,18,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,6,518,0,0,572,0.009689,235,0,0,109,301,0.0050991,828,0.014027,0,20,24,1483,0.025122,273,274,0,0,322,1908,10,420,2395,149,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,240,0,9,229,0.077182,0,2441,0.822717,14,0,0,44,0.014829,0,2,0,29,0.009774,3,0,0,0,40,14,0,9,36,8,1
0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,1180,0.092614,27,0,0,97,10,0.000784,261,0.020485,0,7,7,118,0.009261,7,11,0,0,132,128,2,36,385,246,0
0,0,0,20,0,0,11,0,4,43,24,0,29,6,7,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,367,5,216,0,0,15757,0.080586,328,0,0,701,199,0.001018,1062,0.005431,0,35,8,1731,0.008853,113,228,0,1,1878,1148,57,506,3219,4561,0
0,3,0,7,0,0,0,0,0,5,10,0,1,1,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,1,164,0,0,208,0.009854,125,0,0,56,104,0.004927,277,0.013123,0,43,2,492,0.023309,65,118,0,0,128,704,1,116,1022,20,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,0.012711,25,0,0,4,19,0.004025,273,0.057839,0,2,0,290,0.061441,28,12,0,0,91,215,0,102,129,0,0
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,314,10,394,0,0,20699,0.161648,272,0,0,438,69,0.000538,1132,0.00841,0,7,21,1304,0.010184,143,119,0,0,1586,646,619,331,2016,1570,0
0,0,0,0,0,0,1,1,0,1,3,0,1,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38,2,79,0,0,223,0.008307,116,0,0,40,78,0.002906,204,0.007599,0,0,21,391,0.014565,95,104,0,0,94,538,3,58,1189,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,158,0,0,0,0,0,739,0.657473,0,0,0,258,0.229537,0.435943,131,0,0,0,0,1,0,3,1,1,0,0,13,6,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,1137,0.081254,45,1998,0.142785,14,0,0,1235,0.088258,0,5,2,309,0.022082,0,0,0,0,279,31,0,32,54,149,1
0,0,1,5,6,6,3,0,16,25,77,0,54,21,72,0,1,2,0,5,0,0,2,0,0,0,0,0,0,0,0,1276,46,1967,2,0,57021,0.082372,1089,0,0,2756,782,0.001129,1452,0.0020975,0,112,164,6923,0.0100001,407,1035,0,0,6157,4408,291,877,12021,14193,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,6499,0,7,51,0.005882,16,5660,0.652825,4,0,0,2770,0.319493,0.253287,0,10,23,0.002653,0,0,0,0,43,52,0,34,2158,4,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1100,0.083371,36,0,0,51,10,0.000758,50,0.003789,0,1,0,131,0.009928,4,21,0,0,134,72,5,13,271,283,0
0,0,0,7,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,10651,0.405289,57,0,0,93,14,0.000533,45,0.001712,0,1,1,193,0.007343,8,28,0,2,218,178,19,50,476,424,0
0,0,4,0,0,0,0,0,0,1,0,0,7,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,6,226,0,0,13249,0.255723,105,0,0,131,20,0.000386,120,0.002316,0,1,58,533,0.010288,35,58,0,0,597,384,72,281,697,714,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,49,0,0,149,0.013449,57,0,0,27,30,0.002707,58,0.005235,0,0,27,189,0.017059,13,30,0,2,60,256,19,20,433,28,0
3,7,0,0,0,0,0,0,1,3,0,10,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,30,559,0.058509,7,9526,0.997905,44,3,0.000315,285,0.029855,0,35,4,88,0.009218,1,3,0,0,131,49,0,109,141,222,1
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,212,8,320,0,0,1062,0.012757,264,0,0,178,145,0.001742,1317,0.015821,0,7,19,1287,0.015461,188,252,0,0,373,1376,615,328,2107,132,0
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,1,39,0,0,12848,0.219496,146,0,0,304,49,0.000837,353,0.006031,0,2,28,625,0.010678,50,63,0,0,637,466,45,276,873,630,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,80,0,0,10726,0.169987,944,0,0,39,0,0,15875,0.251589,0,28,0,984,0.015595,2,2,0,0,2928,1912,0,138,130,1888,1
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,39,0,0,428,0.016157,133,0,0,45,87,0.003284,283,0.010683,0,2,17,591,0.022311,72,76,0,0,207,661,43,268,828,68,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,3244,0.271079,33,0,0,24,8,0.000669,47,0.003927,0,0,1,148,0.012367,9,11,0,0,164,92,7,41,189,178,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,66,0,5,2328,0.124765,1,17007,0.911463,10,0,0,1374,0.073637,0.149901,13,10,40,0.002143,0,0,0,0,43,1246,0,545,508,3604,1
0,0,4,0,0,0,0,0,0,1,0,0,7,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,7,263,0,0,390,0.015409,102,0,0,47,40,0.001581,161,0.006361,0,1,27,530,0.020941,54,58,0,0,172,599,72,281,697,195,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,148,0,0,99,0.027131,0,3637,0.996711,4,0,0,788,0.215949,0.040011,2,0,441,0.120855,1,0,0,0,242,215,0,224,28,420,1
1,2,1,0,0,0,0,1,2,2,1,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,122,0,0,812,0.013705,5,0,0,181,1818,0.030684,10674,0.180155,0,52,192,3712,0.062651,418,679,0,0,626,3693,11,618,3464,20,0
2,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,292,2907,4,74,0.001477,9,48105,0.960755,7,0,0,15278,0.305133,0,0,2907,1117,0.002337,0,1,0,0,2940,2675,0,16,25,0,1
1,2,0,1,0,0,0,0,1,2,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,130,0,0,748,0.013641,5,0,0,203,1207,0.022031,10933,0.199387,0,40,194,1791,0.032663,281,334,0,0,415,1533,9,299,4434,150,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,79,0.134353,0,87,0.147959,4,0,0,38,0.064626,0,0,0,12,0.020408,1,0,0,0,20,6,0,6,14,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1050,0.050258,0,0,0,1,132,0.006318,1646,0.078786,0,1,4,4,0.000191,2,0,0,0,101,2644,100,4,81,14,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,945,0.069008,39,0,0,215,11,0.000803,70,0.005111,0,0,10,99,0.007229,14,11,0,0,148,77,4,49,297,410,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,6278,2667,58,237,0.010756,63,22020,0.999364,6,9,0.000408,8227,0.373377,0,8,2668,155,0.007034,6,44,0,1,234,334,0,56,1,866,1
0,0,0,1,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,778,0.066027,43,0,0,129,0,0,79,0.006705,0,0,1,71,0.006025,9,6,0,0,163,80,15,20,329,377,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,41,0,0,89,0.135671,0,245,0.373475,4,0,0,40,0.060975,0,0,0,14,0.021341,1,0,0,0,23,6,0,6,16,0,1
0,0,0,0,0,0,0,0,0,37,5,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,5493,0.067589,169,0,0,831,24,0.002953,389,0.004787,0,18,25,762,0.009376,45,68,0,0,1070,504,109,222,1834,2194,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,78,6288,2626,59,233,0.010713,63,9362,0.431835,6,9,0.000413,8029,0.369166,0.480849,8,2627,156,0.007173,6,44,0,2,234,323,0,56,1,830,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,624,0.073916,40,0,0,57,4,0.000474,53,0.006278,0,0,0,102,0.012082,5,15,0,0,137,67,11,9,196,207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,14,0.018372,1,243,0.318897,7,4,0.005249,50,0.065617,0,0,11,17,0.022309,3,0,0,1,8,6,0,8,12,0,1
0,0,0,1,0,0,1,0,1,3,2,0,11,2,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,38,0,0,231,0.00654,133,0,0,71,31,0.000877,466,0.013194,0,2,35,577,0.016336,60,93,0,0,173,807,396,124,1022,73,0
0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,34,0.006181,10,2876,0.523359,11,2,0.000364,1547,0.281222,0,9,0,87,0.015815,2,8,0,1,75,118,0,33,1,124,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,101,0.007439,28,0,0,15,12,0.000884,138,0.010165,0,0,0,264,0.019446,21,76,0,0,136,335,67,55,400,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,202,0,0,98,0.025641,13,200,0.052342,21,4,0.001046,145,0.037948,0,0,3,70,0.018319,5,23,0,0,108,45,0,4,17,56,1
0,0,0,0,0,0,0,0,0,1,4,0,1,0,19,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0,158,11,512,0,0,368,0.005339,256,0,0,27,38,0.000551,446,0.006471,0,3,2,975,0.014146,70,224,0,0,249,1297,463,149,1876,316,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,51,3714,1621,59,143,0.008461,62,7245,0.428698,6,9,0.000533,5984,0.354083,0.477692,3,1622,134,0.007929,6,44,0,2,225,210,0,47,1,670,1
1,1,0,1,0,0,2,3,10,114,27,0,134,1,6,0,20,7,0,0,0,2,73,0,0,1,0,1,10,1,0,516,7,352,0,0,11276,0.044596,449,0,0,3359,336,0.001328,4670,0.018469,0,112,0,4031,0.015942,209,370,0,0,2567,4265,210,1092,5829,3370,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,97,0,5,49,0.066306,0,339,0.458728,4,0,0,30,0.040595,0,0,0,10,0.013531,1,0,0,0,19,7,0,11,16,0,1
1,4,0,0,0,0,2,0,1,87,18,0,10,3,21,0,1,0,0,0,0,4,201,0,0,1,0,3,0,0,0,565,14,734,0,0,2699,0.008058,673,0,0,356,862,0.002573,3928,0.011727,0,70,11,6595,0.019689,642,1553,0,0,1236,6897,1664,970,11461,987,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0.025152,78,0,0,70,18,0.001243,226,0.015616,0,0,0,294,0.020315,48,72,0,0,143,344,5,28,433,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,70,746,0.087497,71,1032,0.121041,10,0,0,149,0.017476,0,0,0,146,0.017121,0,0,0,0,217,154,0,128,163,144,1
0,0,0,6,0,0,0,0,1,61,4,0,49,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,319,0,0,442,0.007945,71,0,0,97,325,0.005842,1035,0.018606,0,50,4,2169,0.038993,273,217,0,0,216,1627,29,175,2887,18,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,43,4,5,62,0.063983,3,409,0.422085,3,0,0,38,0.039215,0,0,4,14,0.014448,1,0,0,0,25,7,0,23,16,0,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,4,61,0.069239,3,243,0.275823,2,0,0,37,0.041998,0,0,4,13,0.014756,1,0,0,0,24,6,0,24,13,2,1
0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,2,108,0,0,128,0.004949,52,0,0,68,139,0.005374,430,0.0166279,0,5,2,797,0.030817,154,115,0,0,82,736,0,185,1399,32,0
0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,85,12,595,0,0,239,0.008199,45,0,0,0,78,0.002675,2551,0.087516,0,55,0,686,0.023534,64,180,0,0,205,2215,3,217,857,50,0
1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,32,0.049921,0,268,0.418096,4,0,0,35,0.054602,0,0,0,6,0.009361,1,0,0,0,13,2,0,7,19,4,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,89,0.139063,0,197,0.307813,4,0,0,38,0.059375,0,0,0,14,0.021875,1,0,0,0,23,6,0,6,14,0,1
0,0,0,30,0,0,0,0,0,4,11,0,8,0,0,0,2,4,0,0,1,2,0,0,0,0,0,0,0,3,0,72,1,103,0,0,244,0.009505,72,0,0,76,149,0.0058044,595,0.023179,0,20,0,789,0.030736,57,220,0,2,174,646,1,78,1051,52,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39,9,519,0,0,105,0.009821,19,0,0,29,80,0.007482,357,0.033389,0,21,0,335,0.0313318,30,52,0,0,74,306,0,41,493,10,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,9898,0,3,21,0.001888,7,10112,0.909189,2,0,0,5598,0.503327,0.882575,0,4,8,0.000719,0,0,0,0,17,12,0,65,5,4,1
0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,4186,0,4,28,0.005077,7,4266,0.773527,5,0,0,2671,0.484315,0.751405,0,5,14,0.002538,0,0,0,0,19,44,0,32,8,0,1
1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,38,0,0,51,0.006305,19,0,0,2,32,0.003955,106,0.013104,0,0,0,167,0.020645,21,39,0,0,70,169,4,7,329,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,0,0,47,0.006377,14,0,0,33,22,0.002985,171,0.023202,0,1,0,270,0.036635,58,31,0,0,41,165,0,21,416,0,0
1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,122,0,5,71,0.072597,0,446,0.456032,1,2,0.002045,41,0.041922,0,0,0,19,0.022494,1,0,0,0,24,5,0,40,19,12,1
1,0,0,7,0,0,1,0,1,15,12,0,17,0,8,0,6,11,1,4,2,0,0,0,0,1,0,1,0,22,0,148,24,1486,2,0,640,0.009902,220,0,0,121,308,0.004765,1241,0.019201,0,57,65,1551,0.023997,119,440,0,7,334,1678,28,235,2669,124,0
0,46,0,0,0,0,0,7,1,11,6,0,72,50,29,0,2,3,0,0,0,10,3,0,0,0,0,0,2,3,0,267,11,881,0,0,1269,0.011772,413,0,0,213,1269,0.011772,2942,0.027291,0,57,100,4941,0.045835,532,853,0,0,982,4705,12,802,4483,13,0
0,3,0,0,0,0,23,7,6,28,0,0,5,4,28,0,0,5,0,0,0,3,6,0,0,0,0,0,0,0,0,99,2,74,0,0,354,0.010812,111,0,0,73,202,0.006169,656,0.020036,0,25,24,928,0.028344,104,152,0,0,197,1265,65,173,1153,54,0
0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,263,0,0,61,0.010747,10,3919,0.690451,14,0,0,373,0.065715,0,9,4,21,0.003699,0,44,0,0,93,42,0,97,33,125,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,4282,0,5,21,0.004106,4,4715,0.921978,4,0,0,3181,0.622018,0.831443,0,5,15,0.002933,0,0,0,0,18,14,0,28,8,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4282,0,4,20,0.003959,4,4339,0.859037,4,0,0,2391,0.473372,0.841835,0,0,14,0.002771,0,0,0,0,17,14,0,27,8,0,1
2,148,38,2,0,10,153,22,13,15,52,0,64,37,191,9,0,2,0,0,2,30,0,0,0,1,0,1,0,2,7,2646,0,0,0,0,13371,0.022859,2794,0,0,3305,2935,0.005017,7788,0.013314,0,75,1681,14116,0.0241324,1976,3045,0,0,5201,20338,54,2787,21935,219,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,129,0,7,67,0.058772,0,274,0.240351,1,0,0,73,0.064034,0,0,0,19,0.016667,1,0,0,0,26,15,0,33,17,16,1
0,0,3,0,0,0,0,0,0,1,0,0,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,216,10,0,610,0.034669,83,0,0,94,94,0.0053424,286,0.016254,0,3,108,624,0.035465,54,79,0,0,154,724,0,212,638,17,0
1,2,0,0,0,0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,744,0.030411,5,24220,0.989985,9,1675,0.068465,8843,0.361455,0,0,222,882,0.036052,0,1,0,0,49,0,0,15,194,232,1
1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,6518,0,7,39,0.004668,14,6976,0.835149,4,0,0,3182,0.380941,0.516701,0,8,18,0.002154,0,0,0,0,36,37,0,33,3,6,1
0,1,0,0,0,0,0,0,2,0,5,0,1,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,0,0,0,0,285,0.024628,94,0,0,21,32,0.002765,276,0.023851,0,2,1,584,0.050467,46,96,1,0,232,326,1,62,242,4,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,61,0,0,54,0.008554,33,0,0,10,18,0.002851,102,0.016157,0,0,1,86,0.013623,6,33,0,0,23,199,35,8,284,16,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,80,0,280,1810,0.091934,55,966,0.049065,10,0,0,1145,0.058157,0,5,5,490,0.024888,0,0,0,0,440,31,0,79,71,217,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,30,1715,0.280046,28,944,0.154148,50,0,0,255,0.041639,0,0,6,103,0.016819,2,1,0,0,109,103,0,37,19,54,1
0,37,30,31,4,7,14,39,16,38,12,0,72,28,133,4,3,3,0,4,4,16,7,0,1,5,2,10,0,7,0,1341,21,3652,38,0,5222,0.014785,2852,0,0,674,2323,0.006577,5148,0.014575,0,20,1132,11304,0.032005,1231,2001,0,3,2769,16355,72,1272,11931,170,0
0,45,48,36,6,14,45,80,28,67,32,0,125,42,239,7,4,8,1,4,4,31,12,0,1,10,2,17,1,31,0,2366,28,3943,48,0,9659,0.014841,5084,0,0,1746,3756,0.005771,9091,0.013969,0,43,1610,18844,0.028954,2050,3099,3,9,4525,28189,218,3084,22944,1046,0
2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,69,0,8,65,0.020576,0,2250,0.712251,8,0,0,344,0.108895,0,0,14,16,0.005064,0,2,0,0,14,2,2,438,11,2,1
2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,589,0,6,34,0.018868,0,1456,0.807991,7,0,0,338,0.187569,0,1,17,9,0.004995,0,47,0,0,9,5,0,30,10,2,1
0,0,1,0,0,0,0,0,2,2,4,0,6,1,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,42,5,0,396,0.016369,250,0,0,159,142,0.005869,315,0.013021,0,4,144,622,0.025712,82,129,0,0,185,968,4,98,713,31,0
0,1,10,7,0,0,14,10,8,11,8,0,28,9,12,0,2,0,0,0,0,7,2,0,0,0,0,0,0,0,0,516,0,0,5,0,1797,0.013614,10401,0,0,252,583,0.004416,1241,0.009402,0,12,101,3680,0.027881,350,422,0,0,906,5104,34,1090,5331,575,0
0,1,7,9,0,0,14,10,6,11,8,0,28,9,12,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,500,0,0,5,0,1782,0.013626,988,0,0,245,604,0.004618,1266,0.009681,0,11,97,3599,0.027521,337,448,0,0,877,4997,34,1068,5321,574,0
3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,79,0,11,96,0.024477,2,2868,0.731259,4,2,0.000509,327,0.083375,0,2,12,21,0.005354,0,2,0,0,36,7,0,89,11,38,1
0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,105,0.007147,93,0,0,31,144,0.009803,110,0.007488,0,0,15,299,0.020354,51,40,0,0,42,452,0,77,749,0,0
