No. of Digite,number of space,"Number(fromcharcode,charcodeAt,charAt)",Long string,longest string length,hexa value,eval(),concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,function,var _,encodeURIComponent,decodeURIComponent,/,|,%,no of( \),no of =,;,#,no of +,., no of ',Found / Not Found
32,4109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,5,0,0,125,8,0,0,116,113,0,5,130,153,0
2177,600,0,1,4063,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,25,19,0,10,13,2,1
221,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,0,0,0,91,12,20,0,164,166,0,40,178,45,0
1530,35496,12,0,0,0,0,2,4,1,1,1,0,13,0,3,3,36,38,13,6,2,0,0,0,2,4,2,0,0,4,0,4,0,1,0,243,272,0,5,6,154,388,24,70,1575,1164,5,348,1897,9,0
422,30,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,3,3,0,0,25,18,0,14,14,6,1
1263,74147,4,0,0,6,4,6,2,0,0,0,16,2,1,6,3,15,0,40,0,2,0,0,0,8,33,5,0,3,0,1,5,0,9,0,292,618,0,2,0,220,1332,8,266,3524,735,13,554,3584,44,0
850,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,20,0,2,1
70,4774,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,52,0,0,0,40,119,1,38,246,63,10,47,432,29,0
3769,28,0,15,6714,2041,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,5,2,1,2045,10,26,0,7,1,0,1
137,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0,25,18,2,0,80,17,4,32,327,16,0
236,2189,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,59,0,2,0,449,14,3,4,380,405,22,68,619,543,0
1916,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,26,0,1,5,4,7,0,77,64,0,28,3,0,1
258,245,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,58,0,2,0,196,32,2,5,379,52,22,66,605,36,0
321,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,101,0,0,0,24,64,2,0,460,128,74,464,1134,102,0
363,28,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,5,2,1,0,10,25,0,7,1,0,1
54,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,29,0,0,0,28,38,0,0,141,27,0,15,124,14,0
1217,76291,6,0,0,10,0,6,2,0,0,0,12,1,1,7,0,15,0,44,0,2,2,0,0,6,17,8,0,0,0,0,5,0,9,0,284,621,1,2,0,267,1363,8,0,3569,748,11,563,3769,61,0
185,224,1,0,0,12,6,8,6,4,6,1,22,1,0,0,2,5,2,19,1,0,1,0,0,3,14,7,2,0,0,0,1,0,23,2,93,71,1,0,0,64,78,0,112,313,242,0,105,432,26,1
597,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,180,0,0,0,48,234,4,0,1123,241,3,177,1352,2,0
222,139,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,83,42,1,0,432,137,0,163,777,2,0
2261,0,0,1,5462,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,0,1
2574,2391,29,0,0,14,1,5,14,3,3,2,14,11,8,13,1,34,54,57,0,8,0,1,20,9,18,16,0,0,1,2,14,0,4,0,718,1065,0,10,8,544,1050,41,0,4938,3539,67,799,7297,91,0
115,4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,5,20,7,0,135,12,3,72,618,2,0
88,3534,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,20,18,1,3,97,50,3,34,332,18,0
1310,605,0,0,0,0,0,0,0,4,1,1,14,2,8,9,0,19,3,13,0,0,0,0,4,0,4,0,11,3,0,0,3,0,2,4,183,146,0,3,0,210,210,9,23,798,491,348,399,827,164,1
3481,3832,47,0,0,39,1,9,22,1,1,3,8,56,6,26,0,15,30,39,9,7,0,2,16,9,27,5,0,0,12,0,16,0,4,21,618,1274,6,18,3,484,829,96,414,4452,3112,106,765,6265,144,0
124,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,11,0,0,0,12,2,1,0,58,52,1,11,67,12,1
75,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68,31,3,0,0,93,36,0,4,223,229,4,45,459,347,0
4158,448,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,4,3600,497,394,0,79,366,6,1
140,72,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,69,0,3,0,24,70,0,0,188,46,0,33,307,6,0
75,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68,31,3,0,0,93,36,0,4,223,229,4,45,459,347,0
88,210,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,9,0,0,0,9,3,0,0,0,0,0,3,24,9,0,6,0,28,0,0,0,147,57,0,84,92,96,1
601,22602,6,0,0,0,1,0,0,0,0,0,0,9,14,1,0,2,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,84,0,0,0,65,133,12,58,785,167,0,222,1414,57,0
305,62,5,0,0,0,6,0,0,0,0,0,0,6,7,0,0,6,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,26,0,0,0,41,441,5,352,170,104,2,55,175,158,1
220,9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,59,0,0,0,96,40,1,0,442,147,0,163,782,2,0
291,7,0,1,106,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,3,2,0,109,11,13,0,2,0,56,1
88,3534,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,20,18,1,3,97,50,3,34,332,18,0
1890,80,0,7,1026,574,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,15,0,1,5,5,0,583,32,31,0,26,1,2,1
472,16760,10,0,0,0,0,0,0,0,0,1,1,1,0,1,2,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,148,202,0,1,0,98,129,0,30,546,251,3,114,750,0,0
539,27,1,1,432,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,9,0,0,0,6,8,0,2,6,4,1
115,1998,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,39,10,0,1,0,37,8,14,8,74,50,0,32,102,0,0
913,12848,2,0,0,0,0,0,0,0,0,1,2,10,3,2,2,8,6,7,0,4,2,0,0,1,4,4,9,0,0,0,3,0,4,0,60,65,0,4,1,64,102,0,13,366,125,4,116,598,0,0
1439,608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,7,1,0,0,11,0,1
549,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,249,408,0,0,0,207,186,1,1,1299,375,3,132,2682,42,0
311,5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,102,0,0,0,227,62,2,0,498,536,74,478,1133,1727,0
91,29,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,3,0,0,24,18,0,13,14,5,1
54,5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,2,0,0,26,6,0,0,108,113,0,4,120,94,0
454,4,0,1,5710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
245,16749,2,0,0,0,0,3,0,0,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,1,2,2,2,0,2,0,1,0,30,0,96,108,0,0,0,138,109,0,37,404,151,0,72,524,6,0
831,21809,20,0,0,0,1,2,0,0,0,0,0,8,3,4,13,3,2,15,2,0,0,0,0,0,6,4,0,0,3,0,2,0,14,0,128,229,0,4,2,91,93,1,125,663,243,9,209,783,14,0
