eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var_,number of space,function,No. of backslas (/),No. of pipe characters,No. of Digite,No. of % character,No. of \ charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,No. of '#' charecters,No. of '+' charecters,No. of ' charecters,Found / Not Found
0,0,7,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,4,0,0,0,82,1,45,0,0,13827,86,27,153,137,4,3,0,0,206,0,51,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,5,671,5,3,1,1998,0,0,0,0,30,0,2,58,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,25,0,0,0,0,4375,26,8,36,111,0,0,0,0,60,0,37,0,0
0,0,1,0,0,3,0,1,0,0,11,0,1,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,293,199,46,151,164,1,17,0,0,160,18,49,38,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1,155,0,0,417,119,96,186,1101,9,0,0,0,350,13,378,24,0
0,6,1,0,0,0,0,0,5,0,2,0,5,3,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,140,28,1154,3,0,21455,304,26,171,346,4,4,1,0,992,7,111,13,0
0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4382,45,13,42,41,0,2,0,0,34,0,31,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,136,0,0,0,0,474,211,81,58,113,2,4,0,0,205,3,104,5,0
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,306,0,0,0,0,22,0,3,176,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,185,0,0,0,2,9753,218,863,68,189,2,4,0,0,836,10,105,541,0
1,8,5,0,0,0,0,0,3,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,106,96,13,82,833,6,16,0,0,132,0,114,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2400,37,243,20,293,1,0,0,0,277,7,91,43,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,5966,42,277,112,240,1,2,0,0,289,2,20,119,0
1,1,0,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,5,14,87,123,1,24,0,0,26,0,19,36,1
0,15,2,0,0,0,1,9,3,1,3,3,29,24,30,0,2,0,0,0,2,6,1,0,0,2,0,0,0,2,0,283,0,0,6,0,35800,235,228,427,1227,14,103,8,7,1024,19,335,8,0
0,0,1,2,0,0,0,1,4,1,1,0,5,2,3,0,2,1,2,9,0,5,9,7,0,0,0,0,1,4,0,262,0,0,0,0,36870,411,109,149,1097,17,30,1,0,914,12,138,8,0
0,10,2,0,2,1,3,0,0,4,2,0,21,4,39,0,2,0,0,2,4,8,5,0,0,0,0,1,0,1,0,230,0,0,3,2,45659,325,138,674,1721,30,164,1,1,1297,123,372,78,0
