eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var_,number of space,function,No. of backslas (/),No. of pipe characters,No. of Digite,No. of % character,No. of \ charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,No. of '#' charecters,No. of '+' charecters,No. of ' charecters,Found / Not Found
0,0,3,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,304,181,123,805,90,10,0,0,227,7,218,41,0
1,2,4,2,2,0,2,0,9,9,5,5,5,6,4,0,7,0,0,2,0,2,0,0,0,7,0,3,12,5,0,291,3,124,10,0,1376,649,103,444,2734,2,80,2,0,1933,3,292,25,1
0,0,0,0,0,0,0,0,3,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,11126,48,301,14,467,1,0,0,0,287,3,65,412,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,572,224,9,52,3,0,2,731,0,224,0,0,18,0,14,0,1
0,0,3,0,0,0,0,0,1,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,304,181,123,805,90,10,0,0,227,7,218,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,58,0,0,1956,230,3,0,660,2,0,0,0,723,0,15,462,1
0,17,5,0,0,1,0,0,0,19,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,6,518,0,0,606,237,102,305,843,20,24,0,0,326,9,422,153,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,116,0,0,98,0,4,0,358,2,0,0,0,32,0,237,448,1
0,1,0,0,0,0,1,0,1,1,0,0,7,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,3275,125,415,170,313,10,193,0,0,435,3,62,58,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,112,0,0,98,0,4,0,360,2,0,0,0,32,0,225,424,1
0,17,5,0,0,1,0,0,0,18,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,6,518,0,0,572,235,109,301,828,20,24,0,0,322,10,420,149,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,240,0,9,229,0,14,0,44,2,0,0,0,40,0,9,8,1
0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,1180,27,97,10,261,7,7,0,0,132,2,36,246,0
0,0,0,20,0,0,11,0,4,43,24,0,29,6,7,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,367,5,216,0,0,15757,328,701,199,1062,35,8,0,1,1878,57,506,4561,0
0,3,0,7,0,0,0,0,0,5,10,0,1,1,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,1,164,0,0,208,125,56,104,277,43,2,0,0,128,1,116,20,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,25,4,19,273,2,0,0,0,91,0,102,0,0
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,314,10,394,0,0,20699,272,438,69,1132,7,21,0,0,1586,619,331,1570,0
0,0,0,0,0,0,1,1,0,1,3,0,1,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38,2,79,0,0,223,116,40,78,204,0,21,0,0,94,3,58,21,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,19,1611,0,0,4435,1633,311,815,7953,69,9,1,0,1818,23,812,56,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,158,0,0,0,0,0,0,258,131,0,0,3,1,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,3,0,337,70,78,72,1476,7,0,0,0,169,0,81,9,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,1137,45,14,0,1235,5,2,0,0,279,0,32,149,1
0,0,1,5,6,6,3,0,16,25,77,0,54,21,72,0,1,2,0,5,0,0,2,0,0,0,0,0,0,0,0,1276,46,1967,2,0,57021,1089,2756,782,1452,112,164,0,0,6157,291,877,14193,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,6499,0,7,51,16,4,0,2770,0,10,0,0,43,0,34,4,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1100,36,51,10,50,1,0,0,0,134,5,13,283,0
0,0,0,7,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,10651,57,93,14,45,1,1,0,2,218,19,50,424,0
0,0,4,0,0,0,0,0,0,1,0,0,7,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,6,226,0,0,13249,105,131,20,120,1,58,0,0,597,72,281,714,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,49,0,0,149,57,27,30,58,0,27,0,2,60,19,20,28,0
3,7,0,0,0,0,0,0,1,3,0,10,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,30,559,7,44,3,285,35,4,0,0,131,0,109,222,1
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,212,8,320,0,0,1062,264,178,145,1317,7,19,0,0,373,615,328,132,0
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,1,39,0,0,12848,146,304,49,353,2,28,0,0,637,45,276,630,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,80,0,0,10726,944,39,0,15875,28,0,0,0,2928,0,138,1888,1
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,39,0,0,428,133,45,87,283,2,17,0,0,207,43,268,68,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,3244,33,24,8,47,0,1,0,0,164,7,41,178,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,66,0,5,2328,1,10,0,1374,13,10,0,0,43,0,545,3604,1
0,0,4,0,0,0,0,0,0,1,0,0,7,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,7,263,0,0,390,102,47,40,161,1,27,0,0,172,72,281,195,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,148,0,0,99,0,4,0,788,2,0,0,0,242,0,224,420,1
1,2,1,0,0,0,0,1,2,2,1,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,122,0,0,812,5,181,1818,10674,52,192,0,0,626,11,618,20,0
2,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,292,2907,4,74,9,7,0,15278,0,2907,0,0,2940,0,16,0,1
1,2,0,1,0,0,0,0,1,2,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,130,0,0,748,5,203,1207,10933,40,194,0,0,415,9,299,150,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,79,0,4,0,38,0,0,0,0,20,0,6,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,132,1646,1,4,0,0,101,100,4,14,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,945,39,215,11,70,0,10,0,0,148,4,49,410,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,6278,2667,58,237,63,6,9,8227,8,2668,0,1,234,0,56,866,1
0,0,0,1,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,778,43,129,0,79,0,1,0,0,163,15,20,377,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,41,0,0,89,0,4,0,40,0,0,0,0,23,0,6,0,1
0,0,0,0,0,0,0,0,0,37,5,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,5493,169,831,24,389,18,25,0,0,1070,109,222,2194,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,78,6288,2626,59,233,63,6,9,8029,8,2627,0,2,234,0,56,830,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,624,40,57,4,53,0,0,0,0,137,11,9,207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,14,1,7,4,50,0,11,0,1,8,0,8,0,1
0,0,0,1,0,0,1,0,1,3,2,0,11,2,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,38,0,0,231,133,71,31,466,2,35,0,0,173,396,124,73,0
0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,34,10,11,2,1547,9,0,0,1,75,0,33,124,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,101,28,15,12,138,0,0,0,0,136,67,55,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,202,0,0,98,13,21,4,145,0,3,0,0,108,0,4,56,1
0,0,0,0,0,0,0,0,0,1,4,0,1,0,19,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0,158,11,512,0,0,368,256,27,38,446,3,2,0,0,249,463,149,316,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,51,3714,1621,59,143,62,6,9,5984,3,1622,0,2,225,0,47,670,1
1,1,0,1,0,0,2,3,10,114,27,0,134,1,6,0,20,7,0,0,0,2,73,0,0,1,0,1,10,1,0,516,7,352,0,0,11276,449,3359,336,4670,112,0,0,0,2567,210,1092,3370,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,97,0,5,49,0,4,0,30,0,0,0,0,19,0,11,0,1
1,4,0,0,0,0,2,0,1,87,18,0,10,3,21,0,1,0,0,0,0,4,201,0,0,1,0,3,0,0,0,565,14,734,0,0,2699,673,356,862,3928,70,11,0,0,1236,1664,970,987,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,78,70,18,226,0,0,0,0,143,5,28,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,70,746,71,10,0,149,0,0,0,0,217,0,128,144,1
0,0,0,6,0,0,0,0,1,61,4,0,49,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,319,0,0,442,71,97,325,1035,50,4,0,0,216,29,175,18,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,43,4,5,62,3,3,0,38,0,4,0,0,25,0,23,0,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,4,61,3,2,0,37,0,4,0,0,24,0,24,2,1
0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,2,108,0,0,128,52,68,139,430,5,2,0,0,82,0,185,32,0
0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,85,12,595,0,0,239,45,0,78,2551,55,0,0,0,205,3,217,50,0
1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,32,0,4,0,35,0,0,0,0,13,0,7,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1,46,0,0,965,269,12,94,586,2,0,0,0,266,0,87,34,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,89,0,4,0,38,0,0,0,0,23,0,6,0,1
0,0,0,30,0,0,0,0,0,4,11,0,8,0,0,0,2,4,0,0,1,2,0,0,0,0,0,0,0,3,0,72,1,103,0,0,244,72,76,149,595,20,0,0,2,174,1,78,52,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39,9,519,0,0,105,19,29,80,357,21,0,0,0,74,0,41,10,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,9898,0,3,21,7,2,0,5598,0,4,0,0,17,0,65,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,14,785,0,2,4327,1105,296,481,10656,55,7,1,0,1381,56,624,43,0
0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,4186,0,4,28,7,5,0,2671,0,5,0,0,19,0,32,0,1
1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,38,0,0,51,19,2,32,106,0,0,0,0,70,4,7,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,0,0,47,14,33,22,171,1,0,0,0,41,0,21,0,0
1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,122,0,5,71,0,1,2,41,0,0,0,0,24,0,40,12,1
1,0,0,7,0,0,1,0,1,15,12,0,17,0,8,0,6,11,1,4,2,0,0,0,0,1,0,1,0,22,0,148,24,1486,2,0,640,220,121,308,1241,57,65,0,7,334,28,235,124,0
0,46,0,0,0,0,0,7,1,11,6,0,72,50,29,0,2,3,0,0,0,10,3,0,0,0,0,0,2,3,0,267,11,881,0,0,1269,413,213,1269,2942,57,100,0,0,982,12,802,13,0
0,3,0,0,0,0,23,7,6,28,0,0,5,4,28,0,0,5,0,0,0,3,6,0,0,0,0,0,0,0,0,99,2,74,0,0,354,111,73,202,656,25,24,0,0,197,65,173,54,0
0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,263,0,0,61,10,14,0,373,9,4,0,0,93,0,97,125,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,288,0,0,0,0,1059,468,232,237,640,2,1,0,0,437,3,149,42,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,4282,0,5,21,4,4,0,3181,0,5,0,0,18,0,28,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,190,2,100,0,0,1025,281,101,592,1415,2,4,0,0,484,2,463,15,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4282,0,4,20,4,4,0,2391,0,0,0,0,17,0,27,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,5,682,0,0,1904,1096,112,526,4327,6,5,0,0,994,3,429,17,0
2,148,38,2,0,10,153,22,13,15,52,0,64,37,191,9,0,2,0,0,2,30,0,0,0,1,0,1,0,2,7,2646,0,0,0,0,13371,2794,3305,2935,7788,75,1681,0,0,5201,54,2787,219,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,136,0,0,302,120,15,32,199,3,0,0,0,88,9,31,12,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,129,0,7,67,0,1,0,73,0,0,0,0,26,0,33,16,1
0,0,3,0,0,0,0,0,0,1,0,0,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,216,10,0,610,83,94,94,286,3,108,0,0,154,0,212,17,0
1,2,0,0,0,0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,744,5,9,1675,8843,0,222,0,0,49,0,15,232,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,112,16,1,1323,332,64,160,874,3,1,0,0,441,19,191,79,0
1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,6518,0,7,39,14,4,0,3182,0,8,0,0,36,0,33,6,1
0,1,0,0,0,0,0,0,2,0,5,0,1,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,0,0,0,0,285,94,21,32,276,2,1,1,0,232,1,62,4,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,61,0,0,54,33,10,18,102,0,1,0,0,23,35,8,16,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,80,0,280,1810,55,10,0,1145,5,5,0,0,440,0,79,217,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,505,28,1349,4,2,2905,947,391,651,3180,38,14,0,1,1110,47,526,114,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,30,1715,28,50,0,255,0,6,0,0,109,0,37,54,1
0,37,30,31,4,7,14,39,16,38,12,0,72,28,133,4,3,3,0,4,4,16,7,0,1,5,2,10,0,7,0,1341,21,3652,38,0,5222,2852,674,2323,5148,20,1132,0,3,2769,72,1272,170,0
0,45,48,36,6,14,45,80,28,67,32,0,125,42,239,7,4,8,1,4,4,31,12,0,1,10,2,17,1,31,0,2366,28,3943,48,0,9659,5084,1746,3756,9091,43,1610,3,9,4525,218,3084,1046,0
2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,69,0,8,65,0,8,0,344,0,14,0,0,14,2,438,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,130,0,0,84,67,9,18,93,136,0,0,0,35,9,22,0,0
2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,589,0,6,34,0,7,0,338,1,17,0,0,9,0,30,2,1
0,0,1,0,0,0,0,0,2,2,4,0,6,1,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,42,5,0,396,250,159,142,315,4,144,0,0,185,4,98,31,0
0,1,10,7,0,0,14,10,8,11,8,0,28,9,12,0,2,0,0,0,0,7,2,0,0,0,0,0,0,0,0,516,0,0,5,0,1797,10401,252,583,1241,12,101,0,0,906,34,1090,575,0
0,1,7,9,0,0,14,10,6,11,8,0,28,9,12,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,500,0,0,5,0,1782,988,245,604,1266,11,97,0,0,877,34,1068,574,0
3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,79,0,11,96,2,4,2,327,2,12,0,0,36,0,89,38,1
0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,105,93,31,144,110,0,15,0,0,42,0,77,0,0
0,2,2,17,0,2,0,2,0,0,0,0,1,0,20,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,121,0,0,0,0,330,155,50,164,195,2,32,0,1,257,10,88,2,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,687,0,15,240,0,12,0,59,2,0,0,0,56,0,22,32,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,154,10,488,0,0,870,306,11,102,726,25,0,0,0,297,0,152,12,0
1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,4,49,2,9,0,504,7,28,0,0,70,40,25,12,1
0,0,0,0,0,0,24,0,0,0,6,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,64,59,31,80,87,1,10,0,0,31,21,47,26,0
0,0,0,0,0,0,0,3,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,151,114,38,80,401,11,70,0,0,83,20,59,0,0
2,7,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,69,3,8,0,365,13,0,0,0,120,57,46,16,1
1,0,1,5,0,0,0,6,0,0,7,2,2,0,2,0,0,2,0,0,2,1,0,0,0,0,0,3,0,0,0,76,0,0,0,0,259,69,6,164,136,0,6,0,2,155,1,60,20,0
1,6,7,2,0,0,0,19,2,1,6,3,15,0,45,0,2,0,0,0,8,33,5,0,0,0,2,5,0,0,0,294,2,111,6,0,1422,653,217,1325,1267,8,266,2,0,736,13,554,44,0
0,25,0,0,0,0,0,0,2,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,14,0,2395,34,18,22,1048,3,25,0,0,133,0,31,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,447,28,1349,0,2,2436,837,94,268,2705,30,6,0,0,900,13,229,29,0
1,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,698,0,0,433,0,37,0,6021,24,0,0,0,88,0,1330,2386,1
0,0,6,2,0,0,0,11,1,4,6,3,15,23,8,0,1,0,0,0,0,10,2,0,0,2,0,1,24,10,0,233,4,188,0,0,1172,386,212,226,1613,38,0,1,0,516,2,288,97,0
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,3,15,7,0,0,851,2,0,0,0,25,0,5,78,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,18,0,2090,49,142,18,190,14,2,0,0,219,31,20,484,0
1,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,336,5,20,695,3409,2,18,0,0,363,0,53,26,1
0,16,3,0,0,0,0,0,2,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,481,0,0,380,106,81,214,565,9,20,0,0,211,8,318,143,0
1,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,379,5,23,706,3488,2,18,0,0,438,0,58,26,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,197,0,0,0,0,16336,88,414,59,251,7,0,0,0,499,6,128,305,0
1,0,1,0,0,0,1,1,1,5,6,0,2,4,1,0,0,0,0,0,2,5,2,9,0,1,0,0,0,3,0,63,0,0,27,59,201,110,143,561,14785,1,109,2,0,260,5,128,3902,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,186,0,0,0,0,46368,125,1157,158,1405,10,0,0,0,1169,15,381,153,0
